Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,approx_sales,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Platform_year
17388,Rengoku II: The Stairway To H.E.A.V.E.N.,Action,T,PSP,Konami,Neverland,,,0.02,,0.02,0.02,0,,0,2006,3
17389,Bigfoot King of Crush,Racing,E,Wii,Zoo Games,Zoo Games,,,0.02,,0.02,0.02,,,0,2011,6
17390,Shanghai: True Valor,Puzzle,E,PS,Sunsoft,SunSoft,,,0.02,,0.02,0.01,0.01,,0,1999,6
17391,Supermodel Makeover by Lauren Luke,Simulation,,DS,Avanquest,Avanquest Software,,,0.02,,0.02,,0.02,,0,2009,6
17392,Major Dream: Major DS Dream Baseball,Sports,,DS,Takara Tomy,Takara Tomy,,,0.02,,0.02,,,0.02,,2008,5
17393,Jewel Match 2,Puzzle,,DS,Unknown,PlayV,,,0.02,,0.02,,0.02,,0,2008,5
17394,Steins;Gate: Senkei Kousoku no Phonogram,Visual Novel,,X360,5pb,5pb. Games,,,0.02,,0.02,,,0.02,,2013,9
17395,Thunderbirds,Action,E,GBA,Vivendi Games,Saffire Corporation,,,0.02,,0.02,0.02,0.01,,0,2004,4
17397,Inkheart,Adventure,E,DS,DreamCatcher Interactive,The Adventure Company,,,0.02,,0.02,0.02,,,0,2009,6
17398,Treasure Chase,Puzzle,E,DS,Storm City Games,Storm City Games,,,0.02,,0.02,0.02,,,0,2011,8
17399,Captain Morgane and the Golden Turtle,Adventure,,PS3,Reef Entertainment,WizarBox,,,0.02,,0.02,,0.02,,0,2012,7
17400,Earth's Dawn,Action,,PS4,Rising Star Games,Unknown,,,0.02,,0.02,0.02,,,0,2016,4
17401,Vitamin Z Revolution,Adventure,,PSP,D3 Publisher,HuneX,,,0.02,,0.02,,,0.02,,2010,7
17402,Agony,Action-Adventure,,XOne,Maximum Games,Madmind Studio,,,0.02,,0.02,0.02,,,0,2018,6
17403,Aria: The Origination ~Aoi Wakusei no El Cielo~,Adventure,,PS2,Alchemist,Regista,,,0.02,,0.02,,,0.02,,2008,9
17404,"Warhammer 40,000: Deathwatch",Action,T,PS4,Hoplite Research,Rodeo Games,,,0.02,,0.02,0.02,,,0,2018,6
17405,Lunatic Dawn Tempest,Role-Playing,,PS2,ArtDink,ArtDink,,,0.02,,0.02,,,0.02,,2001,2
17406,Strike Witches: Shirogane no Tsubasa,Misc,,PSP,Kadokawa Shoten,Unknown,,,0.02,,0.02,,,0.02,,2012,9
17407,Total Immersion Racing,Racing,E,XB,Empire Interactive,Razorworks Studios,,,0.02,,0.02,0.02,0.01,,0,2002,2
17408,Luxor: The Wrath of Set,Puzzle,E,PSP,Mumbo Jumbo,MumboJumbo,,,0.02,,0.02,0.02,,,0,2006,3
17409,Board Game: Top Shop,Misc,E,PS,A1 Games,KID,,,0.02,,0.02,0.01,0.01,,0,1999,6
17410,NANA: Live Staff Daiboshuu! Shoshinsha Kangei,Action,,DS,Konami,Konami,,,0.02,,0.02,,,0.02,,2007,4
17411,Manga-ka Debut Monogatari: Suteki na Manga o Egakou,Misc,,3DS,Nippon Columbia,Nippon Columbia,,,0.02,,0.02,,,0.02,,2017,7
17412,Samurai Warriors: Sanada Maru,Action,,PS3,Tecmo Koei,Omega Force,,,0.02,,0.02,,,0.02,,2016,11
17413,Moto Racer 4,Racing,,XOne,Microids,Microids,,,0.02,,0.02,0.02,,,0,2017,5
17414,Crazy Machines,Puzzle,E,Wii,Mentor Interactive,FAKT Software GmBH,,,0.02,,0.02,0.01,0.01,,0,2011,6
17416,Zero no Tsukaima: Shou-akuma to Harukaze no Concerto,Adventure,,PS2,Marvelous Interactive,Marvelous Interactive,,,0.02,,0.02,,,0.02,,2007,8
17417,Sudden Strike 4,Strategy,T,XOne,Kalypso Media,Kite Games,,,0.02,,0.02,0.02,,,0,2018,6
17418,Dunamis 15,Visual Novel,,PS3,5pb,5pb. Games,,,0.02,,0.02,,,0.02,,2011,6
17419,DemiKids: Dark Version,Role-Playing,E,GBA,Atlus,Atlus Co.,6.6,,0.02,,0.02,0.02,0.01,,0,2003,3
17420,Catan,Strategy,,DS,CDV Software Entertainment,USM,,,0.02,,0.02,,0.02,,0,2009,6
17421,Mage Knight: Destiny's Soldier,Strategy,E10,DS,Namco Bandai,Big Blue Bubble Inc.,,,0.02,,0.02,0.02,,,0,2006,3
17422,Blender Bros.,Platform,E,GBA,Atari,Hudson,7.4,,0.02,,0.02,0.02,0.01,,0,2002,2
17423,Chili Con Carnage,Shooter,M,PSP,Eidos Interactive,Deadline Games,,,0.02,,0.02,,0.02,,0.01,2007,4
17424,Suzumiya Haruhi no Heiretsu,Adventure,,Wii,Sega,Sega,,,0.02,,0.02,,,0.02,,2009,4
17425,DemiKids: Light Version,Role-Playing,E,GBA,Atlus,Atlus Co.,6.6,,0.02,,0.02,0.02,0.01,,0,2003,3
17426,Nanatsuiro * Drops Pure!!,Adventure,,PS2,Media Works,UNiSONSHIFT,,,0.02,,0.02,,,0.02,,2007,8
17428,Pe-Jongju to Manabu Kankokugo DS: Test-Hen,Misc,,DS,D3 Publisher,Mobilero,,,0.02,,0.02,,,0.02,,2010,7
17429,World Series of Poker 2008: Battle for the Bracelets,Action,T,PSP,Activision,Left Field Productions,,,0.02,,0.02,0.02,0,,0,2007,4
17431,Zero Escape The Nonary Games,Adventure,T,PSV,Aksys Games,Spike Chunsoft,,,0.02,,0.02,0.01,,0.01,0,2017,7
17432,Bottom of the 9th '97,Sports,E,PS,Konami,Konami,6,,0.02,,0.02,0.01,0.01,,0,1997,4
17433,G1 Jockey Wii,Sports,,Wii,KOEI,Koei/Inis,,,0.02,,0.02,,0.01,0.02,0,2007,2
17434,Shaman King: Chou Senjiryokketsu 3,Role-Playing,,GBA,King Records,Studio Saizensen,,,0.02,,0.02,,,0.02,0,2002,2
17435,Line Rider 2: Unbound,Puzzle,E,Wii,"Genius Products, Inc.",InXile Entertainment,,,0.02,,0.02,0.02,,,0,2008,3
17437,HatsuKare * Renai Debut Sengen!,Misc,,PSP,FuRyu Corporation,Unknown,,,0.02,,0.02,,,0.02,,2013,10
17439,Phantasy Star Online 2 Episode 4: Deluxe Package,Role-Playing,,PSV,Sega,Sega,,,0.02,,0.02,,,0.02,,2017,7
17441,Super Run For Money Tousouchuu & Sentouchuu,Action,,NS,Bandai Namco Games,Bandai Namco Games,,,0.02,,0.02,,,0.02,,2018,2
17442,Kingdom: Ikkitousen no Ken,Action,,PSP,Konami,Konami,,,0.02,,0.02,,,0.02,,2010,7
17443,L.A. Noire: The Complete Edition,Adventure,M,PS3,Rockstar Games,Rockstar Leeds,,,0.02,,0.02,,0.02,,0.01,2011,6
17444,Rapala for Kinect,Sports,E,X360,Activision,Activision,,,0.02,,0.02,,0.02,,0,2011,7
17445,Wrestle Kingdom 2: Pro Wrestling Sekai Taisen,Fighting,,PS2,Yuke's,Yuke's Future Media Creators,,,0.02,,0.02,,,0.02,,2007,8
17446,Dynamic Chord feat. Reve Parfait: V Edition,Adventure,,PSV,honeybee,Unknown,,,0.02,,0.02,,,0.02,,2016,6
17447,Totally Spies! 2: Undercover,Action,E10,DS,Atari,Mistic Software,,,0.02,,0.02,0.01,0.01,,0,2006,3
17448,Bomberman Story DS,Role-Playing,,DS,Rising Star,Hudson Soft,,,0.02,,0.02,,0,0.02,0,2008,5
17449,Bridge Constructor Portal,Puzzle,,XOne,Nighthawk Interactive,ClockStone,,,0.02,,0.02,0.02,,,0,2018,6
17450,Vampire Mansion: Linda Hyde,Adventure,,DS,Unknown,Easy Interactive,,,0.02,,0.02,,0.02,,0,2011,8
17451,RayCrisis: Series Termination,Shooter,E,PS,Working Designs,Taito Corporation,,,0.02,,0.02,0.01,0.01,,0,2000,7
17453,Indianapolis 500 Evolution,Racing,E,X360,Destineer,Brain in a Jar,,,0.02,,0.02,0.02,,,0,2009,5
17455,Blade Strangers,Fighting,T,PS4,Nicalis,Studio Saizensen,,,0.02,,0.02,0.02,,,0,2018,6
17456,Ikki Tousen: Shining Dragon,Role-Playing,,PS2,Unknown,Marvelous,,,0.02,,0.02,,,0.02,,2020,21
17457,"Warhammer 40,000: Inquisitor - Martyr",Action,M,PS4,Neocore Games,Neocore Games,,,0.02,,0.02,0.02,,,0,2018,6
17458,Kimi ga Aruji de Shitsuji ga Ore de: Oshie Nikki,Adventure,,PS2,Minato Station,Minato Station,,,0.02,,0.02,,,0.02,,2008,9
17459,Toxic Grind,Sports,T,XB,THQ,Blue Shift,,,0.02,,0.02,0.02,0,,0,2002,2
17460,American McGee presents ScrapLand,Adventure,T,XB,Enlight,Mercury Steam Entertainment,,,0.02,,0.02,0.02,0,,0,2005,5
17461,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable,Misc,,PSP,Paon,Paon Corporation,,,0.02,,0.02,,,0.02,,2011,8
17462,Enchanted Arms (jp sales),Role-Playing,T,X360,Ubisoft,From Software,,,0.02,,0.02,,,0.02,,2006,2
17463,Katen no Hana,Misc,,PSP,Tecmo Koei,Unknown,,,0.02,,0.02,,,0.02,,2013,10
17464,Serious Sam HD: The First and Second Encounters,Shooter,,X360,Mastertronic,Croteam,,,0.02,,0.02,,0.02,,0,2011,7
17465,Harukanaru Toki no Naka de 3 with Izayoiki Aizouban,Adventure,,PSP,KOEI,Koei,,,0.02,,0.02,,,0.02,,2009,6
17469,Rugby League Live 4,Sports,,XOne,Tru Blu Entertainment,Big Ant Studios,,,0.02,,0.02,,0.02,,0,2017,5
17470,D.Gray-man: Sousha no Shikaku,Adventure,,PS2,Konami,Konami,,,0.02,,0.02,,,0.02,,2008,9
17471,Ookami to Koushinryou: Omiowataru Kaze,Adventure,,DS,ASCII Media Works,ASCII Media Works,,,0.02,,0.02,,,0.02,,2009,6
17472,Sniper Elite V2,Shooter,M,WiiU,505 Games,Rebellion Developments,7,,0.02,,0.02,,0.02,,0,2013,2
17473,ABZU,Adventure,E,XOne,505 Games,Giant Squid Studios,,,0.02,,0.02,0.02,,,0,2017,5
17474,Big Buck Hunter Arcade,Shooter,T,PS4,GameMill Entertainment,GameMill Entertainment,,,0.02,,0.02,0.02,,,0,2017,5
17476,Pharaonic,Action,M,XOne,Soedesco,Milkstone Studios,,,0.02,,0.02,0.02,,,0,2017,5
17477,Motto! SoniComi,Misc,,PS3,Kadokawa Games,Unknown,,,0.02,,0.02,,,0.02,,2014,9
17478,School Days LxH,Adventure,,PS2,Interchannel,0verflow,,,0.02,,0.02,,,0.02,,2008,9
17479,ATV Drift & Tricks,Racing,E,XOne,Microids,Artefacts Studio,,,0.02,,0.02,0.02,,,0,2018,6
17481,Yuukyuu no Tierblade: Lost Chronicle,Adventure,,PSV,Idea Factory,Unknown,,,0.02,,0.02,,,0.02,,2016,6
17482,Big Idea's VeggieTales: LarryBoy and the Bad Apple,Action,E,PS2,Crave Entertainment,Papaya Studios,,,0.02,,0.02,0.01,0.01,,0,2006,7
17483,Neo Angelique,Adventure,,PS2,KOEI,Koei,,,0.02,,0.02,,,0.02,,2006,7
17484,Zumba Fitness: World Party,Misc,E,X360,Unknown,Zoe Mode,,,0.02,,0.02,,0.02,,0,2006,2
17485,Titan Quest,Action,T,XOne,THQ Nordic,THQ Nordic,,,0.02,,0.02,0.02,,,0,2018,6
17486,Namco Museum Battle Collection (JP sales),Misc,E10,PSP,Namco,Namco Tales Studio,,,0.02,,0.02,,,0.02,,2005,2
17488,Brandish: The Dark Revenant,Role-Playing,,PSP,Falcom Corporation,Nihon Falcom Corporation,,,0.02,,0.02,,,0.02,,2009,6
17489,Chaos;Head Noah,Adventure,,PSP,5pb,Genterprise,,,0.02,,0.02,,,0.02,,2010,7
17490,Samurai Shodown V,Fighting,T,XB,SNK Playmore,Yuki Enterprise,,,0.02,,0.02,0.02,0,,0,2006,6
17491,Summon Night: Swordcraft Story,Role-Playing,E10,GBA,Atlus,Flight-Plan,,,0.02,,0.02,0.02,0.01,,0,2006,6
17492,Akogare Girls Collection: Pika Pika Nurse Monogatari - Shounika Haitsumo Oosawagi,Adventure,,DS,Nippon Columbia,Nippon Columbia,,,0.02,,0.02,,,0.02,,2016,13
17493,PuraMai Wars V,Action,,PSV,Unknown,Unknown,,,0.02,,0.02,,,0.02,,2016,6
17495,Geometry Wars 3: Dimensions Evolved,Action,,XOne,Activision,Unknown,,,0.02,,0.02,0.02,,,0,2016,4
17496,Minna no Chizu 2,Misc,,PSP,Zenrin,Zenrin,,,0.02,,0.02,,,0.02,,2007,4
17497,Pro Fishing Challenge,Sports,E,XB,Atlus,Opus Studio,,,0.02,,0.02,0.02,0,,0,2004,4
17498,Franklin's Great Adventures,Action,E,DS,Game Factory,Neko Entertainment,,,0.02,,0.02,0.02,0,,0,2006,3
17499,Geten no Hana with Yume Akari: Aizouban,Adventure,,PSV,Tecmo Koei,Unknown,,,0.02,,0.02,,,0.02,,2016,6
17500,Princess Saver! Eternal Love for My Lady,Adventure,,PS2,Comfort,Ricotta,,,0.02,,0.02,,,0.02,,2010,11
17502,Jitsumei Jikkyou Keiba Dream Classic 2002,Sports,,PS2,Bandai,Bandai,,,0.02,,0.02,,,0.02,,2002,3
17503,To Love-Ru Trouble: Darkness - True Princess,Action,,PSV,FuRyu Corporation,Unknown,,,0.02,,0.02,,,0.02,,2015,5
17504,Tokyo Mew Mew,Role-Playing,,PS,Takara,Takara,,,0.02,,0.02,,,0.02,0,2002,9
17505,Interactive Storybook DS Series 3,Misc,E,DS,Tommo,Tommo,,,0.02,,0.02,0.02,,,0,2007,4
17506,Kawasaki Jet Ski,Racing,E,Wii,Destineer,Data Design Interactive,,,0.02,,0.02,0.02,0,,0,2008,3
17507,Moujuutsukai to Oujisama: Snow Bride Portable,Misc,,PSP,Idea Factory,Unknown,,,0.02,,0.02,,,0.02,,2012,9
17508,Twinkle * Crusaders GoGo!,Adventure,,PSP,ASCII Media Works,ASCII Media Works,,,0.02,,0.02,,,0.02,,2010,7
17511,Rule of Rose,Action,M,PS2,Atlus,Punchline / Shirogumi,5.9,,0.02,,0.02,0.01,0.01,,0,2006,7
17512,Override: Mech City Brawl,Action-Adventure,T,XOne,Modus Games,The Balance Inc,,,0.02,,0.02,0.02,,,0,2018,6
17513,Resident Evil: Revelations,Action,M,XOne,Capcom,Capcom,,,0.02,,0.02,0.02,,,0,2017,5
17514,RedCard 20-03,Sports,E,GC,Midway Games,Point of View,,,0.02,,0.02,0.02,0,,0,2002,2
17515,Freestyle Metal X,Racing,T,XB,Midway Games,Deibus Studios,,,0.02,,0.02,0.02,0,,0,2003,3
17516,Sousaku Alice to Oujisama!,Simulation,,3DS,Happinet,Happinet,,,0.02,,0.02,,,0.02,,2015,5
17517,Space Hulk Tactics,Strategy,,PS4,Focus Home Interactive,Cyanide,,,0.02,,0.02,0.02,,,0,2018,6
17518,The Professor's Brain Trainer: Logic,Puzzle,,DS,505 Games,Interchannel,,,0.02,,0.02,0.02,0,,0,2006,3
17519,The Guided Fate: Cross Thesis Awakening,Misc,,PS3,NIS America,Unknown,,,0.02,,0.02,,,0.02,,2015,10
17520,Monster High 13 Wishes,Misc,,WiiU,Little Orbit,Unknown,,,0.02,,0.02,0.02,,,0,2013,2
17521,Shonen Jump's One Piece: Grand Adventure,Fighting,T,PS2,Namco Bandai,Ganbarion,,,0.02,,0.02,0.01,0.01,,0,2006,7
17523,Collar x Malice: Unlimited,Visual Novel,,PSV,Idea Factory,Idea Factory,,,0.02,,0.02,,,0.02,,2018,8
17524,Pac-Man World Rally,Racing,E,PS2,Namco Bandai,Smart Bomb Interactive,,,0.02,,0.02,0.01,0.01,,0,2006,7
17525,The Legend of Heroes: Trails of Cold Steel II Kai - The Erebonian Civil War,Role-Playing,,PS4,Xseed Games,Nihon Falcom Corporation,,,0.02,,0.02,,,0.02,,2019,7
17527,Broken Sword 5: The Serpent's Curse,Adventure,M,XOne,Revolution Software,Revolution Software,,,0.02,,0.02,,0.02,,0,2015,3
17528,Natalie Brooks: Mystery at Hillcrest High,Misc,,DS,Licensed 4U,Unknown,,,0.02,,0.02,,0.02,,0,2012,9
17529,Uta Kumi 575,Misc,,PSV,Sega,Unknown,,,0.02,,0.02,,,0.02,,2014,4
17530,Hoshiori Yume Mirai: Converted Edition,Adventure,,PSV,Prototype,Unknown,,,0.02,,0.02,,,0.02,,2016,6
17532,Mind Your Language: Learn English! / French! / German! / Spanish! /Japanese!,Misc,,DS,PlayV,PlayV,,,0.02,,0.02,,0.02,,0,2009,6
17533,428: Fuusa Sareta Shibuya de,Adventure,,PS3,Spike,ChunSoft,,,0.02,,0.02,,,0.02,,2009,4
17535,Hisshou Pachinko * Pachi-Slot Kouryaku Series Portable Vol. 2: CR Evangelion - Hajimari no Fukuin,Misc,,PSP,D3 Publisher,D3 Publisher,,,0.02,,0.02,,,0.02,,2010,7
17537,Rugby World Cup 2015,Sports,,XOne,Big Ben Interactive,HB Studios,,,0.02,,0.02,,0.02,,0,2015,3
17538,Abunai: Koi no Sousa Shitsu,Action,,PSV,Asgard,Unknown,,,0.02,,0.02,,,0.02,,2015,5
17539,NFL Blitz Pro,Sports,E,GC,Midway Games,Point of View,,,0.02,,0.02,0.02,0,,0,2003,3
17540,The Crew: Wild Run,Racing,T,XOne,Ubisoft,Ivory Tower,,,0.02,,0.02,,0.02,,0,2015,3
17541,Sangoku Koi Senki: Omoide Gaeshi - CS Edition,Adventure,,PSV,Prototype,Unknown,,,0.02,,0.02,,,0.02,,2016,6
17542,Date A Live: Arusu Install,Misc,,PS3,Compile Heart,Unknown,,,0.02,,0.02,,,0.02,,2014,9
17543,Commandos: Strike Force,Shooter,T,XB,Eidos Interactive,Pyro Studios,,,0.02,,0.02,0.02,0,,0,2006,6
17544,Warriors of the Lost Empire (JP sales),Role-Playing,T,PSP,UFO Interactive,Goshow,,,0.02,,0.02,,,0.02,,2007,4
17545,Jojo's Bizarre Adventure,Fighting,T,PS,Capcom,Capcom,,,0.02,,0.02,0.01,0.01,,0,2000,7
17546,Let's Play Flight Attendant,Simulation,E,DS,Deep Silver,Zig Zag,,,0.02,,0.02,0.02,,,0,2010,7
17547,Lode Runner,Puzzle,,DS,Hudson Entertainment,Hudson Soft,,,0.02,,0.02,,,0.02,,2006,3
17549,Evolution Snowboarding,Sports,T,PS2,Konami,Konami Computer Entertainment Osaka,,,0.02,,0.02,0.01,0.01,,0,2002,3
17551,Zathura,Adventure,E10,XB,2K Games,High Voltage Software,,,0.02,,0.02,0.02,0,,0,2005,5
17552,Jissen Pachinko Hisshouhou! CR Sakura Taisen,Misc,,PS2,Sega,Sammy Studios,,,0.02,,0.02,,,0.02,,2007,8
17555,Triple Crown Championship Snowboarding,Sports,E,Wii,Destineer,Unknown,,,0.02,,0.02,0.02,,,0,2010,5
17557,Saint,Shooter,E10,Wii,UFO Interactive,Starfish SD,,,0.02,,0.02,0.02,,,0,2009,4
17558,Super Nazo Puyo Tsuu: Ruruu no Tetsuwan Hanjyouki,Puzzle,,SNES,Compile,Compile,,,0.02,,0.02,,,0.02,0,1996,7
17559,Warriors Orochi 2,Action,T,X360,Tecmo Koei,Omega Force,,,0.02,,0.02,,,0.02,,2012,8
17560,Zillions of Enemy X: Zetsukai no Crusade,Misc,,PS3,Nippon Ichi Software,Unknown,,,0.02,,0.02,,,0.02,,2013,8
17563,Happiness! De-Lucks,Adventure,,PS2,Marvelous Interactive,Marvelous Interactive,,,0.02,,0.02,,,0.02,,2007,8
17564,SaGa: Scarlet Grace,Role-Playing,,NS,Square Enix,Square Enix,,,0.02,,0.02,,,0.02,,2018,2
17565,Yunohana Spring! Cherishing Time,Adventure,,PSV,Idea Factory,Idea Factory,,,0.02,,0.02,,,0.02,,2016,6
17566,Doki Majo Plus,Adventure,,DS,SNK Playmore,SNK Playmore Corporation,,,0.02,,0.02,,,0.02,,2009,6
17567,Steins;Gate Elite,Visual Novel,M,NS,Spike Chunsoft,5pb. Inc.,,,0.02,,0.02,,,0.02,,2019,3
17568,Eureka Seven Vol. 2: The New Vision,Shooter,T,PS2,Namco Bandai,Namco Bandai Games America,,,0.02,,0.02,,,0.02,,2007,8
17569,Love Once: Mermaid's Tears,Adventure,,PS3,Unknown,Silicon Studio,,,0.02,,0.02,,,0.02,,2011,6
17570,Prison Architect,Simulation,M,XOne,Introversion Software,Introversion Software,,,0.02,,0.02,0.02,,,0,2016,4
17571,Puzzle Challenge: Crosswords and More!,Puzzle,E,PS2,Crave Entertainment,Supersonic Software,,,0.02,,0.02,0.01,0.01,,0,2006,7
17572,Geon Cube,Puzzle,E,Wii,UFO Interactive,Strawdog Studios Ltd.,,,0.02,,0.02,0.02,,,0,2009,4
17573,Muppets Party Cruise,Misc,E,GC,TDK Mediactive,Mass Media,,,0.02,,0.02,0.02,0,,0,2003,3
17574,"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",Action,,PSP,D3 Publisher,D3 Publisher,,,0.02,,0.02,,,0.02,,2009,6
17575,South Park: The Stick of Truth,Role-Playing,M,XOne,Ubisoft,Obsidian Entertainment,,,0.02,,0.02,0.02,,,0,2018,6
17576,428: Shibuya Scramble,Visual Novel,T,PS4,Spike Chunsoft,Abstraction Games,,,0.02,,0.02,0.01,,0.01,0,2018,6
17577,Dance with Devils,Action,,PSV,Unknown,Unknown,,,0.02,,0.02,,,0.02,,2018,8
17578,Shippuu Mahou Daisakusen: Kingdom-Grandprix,Shooter,,SAT,Gaga,Eighting/Raizing,,,0.02,,0.02,,,0.02,0,1996,3
17579,Yamasa Digi Portable: Matsuri no Tatsujin - Win-Chan no Natsumatsuri,Misc,,PSP,Yamasa Entertainment,Yamasa Entertainment,,,0.02,,0.02,,,0.02,,2006,3
17580,Dungeons 2,Role-Playing,T,PS4,Kalypso Media,Realmforge Studios,,,0.02,,0.02,0.02,,,0,2016,4
17581,Quiz Present Variety Q-Sama!! DS: Pressure Study x Atama Gai Kunaru Drill SP,Misc,,DS,Plenty,Plenty,,,0.02,,0.02,,,0.02,,2011,8
17582,Dream Chronicles,Adventure,E,DS,Zoo Games,Kat Games,,,0.02,,0.02,0.02,,,0,2010,7
17583,Heart no Kuni no Alice Anniversary Ver.: Wonderful Wonder World,Adventure,,PSP,Quinrose,QuinRose,,,0.02,,0.02,,,0.02,,2011,8
17584,Serious Sam: Next Encounter,Shooter,M,GC,Global Star Software,Climax Group,,,0.02,,0.02,0.02,0,,0,2004,4
17585,Casper's Scare School: Classroom Capers,Adventure,E,DS,Crave Entertainment,Nikitova Games,,,0.02,,0.02,0.02,0,,0,2010,7
17586,PachiPara 15: Super Umi Monogatari in Okinawa 2,Misc,,PS3,Irem Software Engineering,Irem Software Engineering,,,0.02,,0.02,,,0.02,,2010,5
17589,Akai Ito DS,Adventure,,DS,Alchemist,Alchemist,,,0.02,,0.02,,,0.02,,2008,5
17590,Knight's Apprentice: Memorick's Adventures,Action,T,XB,XS Games,Microids,,,0.02,,0.02,0.02,0,,0,2004,4
17591,Natsuiro no Sunadokei,Adventure,,PS2,Princess Soft,Princess Soft,,,0.02,,0.02,,,0.02,,2002,3
17592,Jissen Pachi-Slot Hisshouhou! Mister Magic Neo,Misc,,PS2,Sega,Sammy Studios,,,0.02,,0.02,,,0.02,,2007,8
17594,Bara ni Kakusareshi Verite,Action,,PSV,Idea Factory,Unknown,,,0.02,,0.02,,,0.02,,2016,6
17595,Freedom Wings,Simulation,E10,DS,Natsume,BELUGA Computer Inc.,,,0.02,,0.02,0.02,0,,0,2006,3
17596,Steal Princess,Platform,E10,DS,Atlus,Climax Entertainment,,,0.02,,0.02,0.02,,,0,2009,6
17597,Ballblazer Champions,Sports,E,PS,LucasArts,Factor 5,,,0.02,,0.02,0.01,0.01,,0,1997,4
17598,Military History: Commander - Europe at War,Strategy,,PSP,Slitherine Software,Impressionware SRL,,,0.02,,0.02,,0.02,,0.01,2009,6
17599,Koisuru Otome to Shugo no Tate: The Shield of AIGIS,Adventure,,PS2,Alchemist,Alchemist,,,0.02,,0.02,,,0.02,,2008,9
17601,Galaxy Angel II: Eigou Kaiki no Koku,Strategy,,PS2,Broccoli,Broccoli,,,0.02,,0.02,,,0.02,,2009,10
17602,Genroh,Misc,,PSP,Idea Factory,Unknown,,,0.02,,0.02,,,0.02,,2012,9
17604,Moujuutsukai to Oujisama Portable,Adventure,,PSP,Idea Factory,Idea Factory,,,0.02,,0.02,,,0.02,,2011,8
17606,Iron Phoenix,Fighting,T,XB,Sega,InterServ International,,,0.02,,0.02,0.02,0,,0,2005,5
17607,Otome wa Oanesama Boku ni Koi Shiteru Portable,Adventure,,PSP,Alchemist,Alchemist,,,0.02,,0.02,,,0.02,,2010,7
17608,Discovery Kids: Snake Safari,Simulation,E,DS,505 Games,505 Games,,,0.02,,0.02,0.02,,,0,2010,7
17609,The Dwarves,Role-Playing,,XOne,THQ Nordic,KING Art Games,,,0.02,,0.02,0.02,,,0,2016,4
17610,Fritz Chess,Strategy,E,Wii,Deep Silver,Gammick Entertainment,,,0.02,,0.02,0.02,0.01,,0,2009,4
17611,Heavy Fire: The Chosen Few 3D,Shooter,T,3DS,Mastiff,Mastiff,,,0.02,,0.02,0.02,,,0,2011,1
17612,Kannou Mukashi Banashi Portable,Misc,,PSP,Idea Factory,Unknown,,,0.02,,0.02,,,0.02,,2012,9
17613,Kuon,Adventure,M,PS2,Agetec,From Software,,,0.02,,0.02,0.01,0.01,,0,2004,5
17614,Tennis no Oji-Sama: Driving Smash! Side King,Sports,,DS,Konami,Konami,,,0.02,,0.02,,,0.02,,2008,5
17615,Umineko no Naku Koro ni: Majo to Suiri no Rinbukyoku,Adventure,,PS3,Alchemist,Alchemist,,,0.02,,0.02,,,0.02,,2010,5
17616,Brothers Conflict: Precious Baby,Action,,PSV,Idea Factory,Unknown,,,0.02,,0.02,,,0.02,,2017,7
17617,Fritz Chess,Strategy,E,DS,Deep Silver,ShanBlue,,,0.02,,0.02,0.02,0,,0,2009,6
17619,UnchainBlades EXXiV,Misc,,3DS,FuRyu Corporation,Unknown,,,0.02,,0.02,,,0.02,,2012,2
17620,Carmen Sandiego: The Secret of the Stolen Drums,Adventure,E,GC,BAM! Entertainment,Artificial Mind and Movement,,,0.02,,0.02,0.02,0,,0,2004,4
17622,Dragon's Lair,Adventure,E10,DS,Destineer,United Coders,,,0.02,,0.02,0.02,,,0,2010,7
17623,Sid Meier's Civilization Revolution 2+,Strategy,,PSV,Take-Two Interactive,Unknown,,,0.02,,0.02,,,0.02,,2015,5
17624,Ferrari Challenge Trofeo Pirelli Deluxe,Racing,,Wii,System 3 Arcade Software,Eutechnyx,,,0.02,,0.02,,0.02,,0,2009,4
17626,Dies Irae: Amantes Amentes,Misc,,PSP,Views,Unknown,,,0.02,,0.02,,,0.02,,2012,9
17627,Mind over Matter,Puzzle,E,DS,505 Games,505 Games,,,0.02,,0.02,0.02,,,0,2010,7
17628,Puyo Puyo! 15th Anniversary,Puzzle,,PSP,Sega,Sega,,,0.02,,0.02,,,0.02,,2007,4
17630,The Idolmaster: Gravure For You! Vol.9,Misc,,PS3,Namco Bandai Games,Unknown,,,0.02,,0.02,,,0.02,,2012,7
17632,I Doll U,Adventure,,PSV,Idea Factory,Idea Factory,,,0.02,,0.02,,,0.02,,2015,5
17633,Ryu-Koku,Adventure,,PS2,KID,KID Corporation,,,0.02,,0.02,,,0.02,,2006,7
17634,Group S Challenge,Racing,E,XB,Capcom,Capcom,,,0.02,,0.02,0.02,0,,0,2003,3
17635,GunParade Orchestra: Midori no Shou,Adventure,,PS2,Sony Computer Entertainment,Alfa System,,,0.02,,0.02,,,0.02,,2006,7
